z,RA,Dec,Chi,dl_FLRW,dl_Lan,rel_Corr
0.0,10.0,20.0,0.0,0.0,,
0.0,10.0,25.0,0.0,0.0,,
0.0,10.0,30.0,0.0,0.0,,
0.0,10.0,35.0,0.0,0.0,,
0.0,10.0,40.0,0.0,0.0,,
0.0,10.0,45.0,0.0,0.0,,
0.0,10.0,50.0,0.0,0.0,,
0.0,10.0,55.0,0.0,0.0,,
0.0,10.0,60.0,0.0,0.0,,
0.0,10.0,65.0,0.0,0.0,,
0.0,10.0,70.0,0.0,0.0,,
0.0,10.0,75.0,0.0,0.0,,
0.0,10.0,80.0,0.0,0.0,,
0.0,10.0,85.0,0.0,0.0,,
0.0,20.0,-90.0,0.0,0.0,,
0.0,20.0,-85.0,0.0,0.0,,
0.0,20.0,-80.0,0.0,0.0,,
0.0,20.0,-75.0,0.0,0.0,,
0.0,20.0,-70.0,0.0,0.0,,
0.0,20.0,-65.0,0.0,0.0,,
0.0,20.0,-60.0,0.0,0.0,,
0.0,20.0,-55.0,0.0,0.0,,
0.0,20.0,-50.0,0.0,0.0,,
0.0,20.0,-45.0,0.0,0.0,,
0.0,20.0,-40.0,0.0,0.0,,
0.0,20.0,-35.0,0.0,0.0,,
0.0,20.0,-30.0,0.0,0.0,,
0.0,20.0,-25.0,0.0,0.0,,
0.0,20.0,-20.0,0.0,0.0,,
0.0,20.0,-15.0,0.0,0.0,,
0.0,20.0,-10.0,0.0,0.0,,
0.0,20.0,-5.0,0.0,0.0,,
0.0,20.0,0.0,0.0,0.0,,
0.0,20.0,5.0,0.0,0.0,,
0.0,20.0,10.0,0.0,0.0,,
0.0,20.0,15.0,0.0,0.0,,
0.0,20.0,20.0,0.0,0.0,,
0.0,20.0,25.0,0.0,0.0,,
0.0,20.0,30.0,0.0,0.0,,
0.0,20.0,35.0,0.0,0.0,,
0.0,20.0,40.0,0.0,0.0,,
0.0,20.0,45.0,0.0,0.0,,
0.0,20.0,50.0,0.0,0.0,,
0.0,20.0,55.0,0.0,0.0,,
0.0,20.0,60.0,0.0,0.0,,
0.0,20.0,65.0,0.0,0.0,,
0.0,20.0,70.0,0.0,0.0,,
0.0,20.0,75.0,0.0,0.0,,
0.0,20.0,80.0,0.0,0.0,,
0.0,20.0,85.0,0.0,0.0,,
0.0,30.0,-90.0,0.0,0.0,,
0.0,30.0,-85.0,0.0,0.0,,
0.0,30.0,-80.0,0.0,0.0,,
0.0,30.0,-75.0,0.0,0.0,,
0.0,30.0,-70.0,0.0,0.0,,
0.0,30.0,-65.0,0.0,0.0,,
0.0,30.0,-60.0,0.0,0.0,,
0.0,30.0,-55.0,0.0,0.0,,
0.0,30.0,-50.0,0.0,0.0,,
0.0,30.0,-45.0,0.0,0.0,,
0.0,30.0,-40.0,0.0,0.0,,
0.0,30.0,-35.0,0.0,0.0,,
0.0,30.0,-30.0,0.0,0.0,,
0.0,30.0,-25.0,0.0,0.0,,
0.0,30.0,-20.0,0.0,0.0,,
0.0,30.0,-15.0,0.0,0.0,,
0.0,30.0,-10.0,0.0,0.0,,
0.0,30.0,-5.0,0.0,0.0,,
0.0,30.0,0.0,0.0,0.0,,
0.0,30.0,5.0,0.0,0.0,,
0.0,30.0,10.0,0.0,0.0,,
0.0,30.0,15.0,0.0,0.0,,
0.0,30.0,20.0,0.0,0.0,,
0.0,30.0,25.0,0.0,0.0,,
0.0,30.0,30.0,0.0,0.0,,
0.0,30.0,35.0,0.0,0.0,,
0.0,30.0,40.0,0.0,0.0,,
0.0,30.0,45.0,0.0,0.0,,
0.0,30.0,50.0,0.0,0.0,,
0.0,30.0,55.0,0.0,0.0,,
0.0,30.0,60.0,0.0,0.0,,
0.0,30.0,65.0,0.0,0.0,,
0.0,30.0,70.0,0.0,0.0,,
0.0,30.0,75.0,0.0,0.0,,
0.0,30.0,80.0,0.0,0.0,,
0.0,30.0,85.0,0.0,0.0,,
0.0,40.0,-90.0,0.0,0.0,,
0.0,40.0,-85.0,0.0,0.0,,
0.0,40.0,-80.0,0.0,0.0,,
0.0,40.0,-75.0,0.0,0.0,,
0.0,40.0,-70.0,0.0,0.0,,
0.0,40.0,-65.0,0.0,0.0,,
0.0,40.0,-60.0,0.0,0.0,,
0.0,40.0,-55.0,0.0,0.0,,
0.0,40.0,-50.0,0.0,0.0,,
0.0,40.0,-45.0,0.0,0.0,,
0.0,40.0,-40.0,0.0,0.0,,
0.0,40.0,-35.0,0.0,0.0,,
0.0,40.0,-30.0,0.0,0.0,,
0.0,40.0,-25.0,0.0,0.0,,
0.0,40.0,-20.0,0.0,0.0,,
0.0,40.0,-15.0,0.0,0.0,,
0.0,40.0,-10.0,0.0,0.0,,
0.0,40.0,-5.0,0.0,0.0,,
0.0,40.0,0.0,0.0,0.0,,
0.0,40.0,5.0,0.0,0.0,,
0.0,40.0,10.0,0.0,0.0,,
0.0,40.0,15.0,0.0,0.0,,
0.0,40.0,20.0,0.0,0.0,,
0.0,40.0,25.0,0.0,0.0,,
0.0,40.0,30.0,0.0,0.0,,
0.0,40.0,35.0,0.0,0.0,,
0.0,40.0,40.0,0.0,0.0,,
0.0,40.0,45.0,0.0,0.0,,
0.0,40.0,50.0,0.0,0.0,,
0.0,40.0,55.0,0.0,0.0,,
0.0,40.0,60.0,0.0,0.0,,
0.0,40.0,65.0,0.0,0.0,,
0.0,40.0,70.0,0.0,0.0,,
0.0,40.0,75.0,0.0,0.0,,
0.0,40.0,80.0,0.0,0.0,,
0.0,40.0,85.0,0.0,0.0,,
0.0,50.0,-90.0,0.0,0.0,,
0.0,50.0,-85.0,0.0,0.0,,
0.0,50.0,-80.0,0.0,0.0,,
0.0,50.0,-75.0,0.0,0.0,,
0.0,50.0,-70.0,0.0,0.0,,
0.0,50.0,-65.0,0.0,0.0,,
0.0,50.0,-60.0,0.0,0.0,,
0.0,50.0,-55.0,0.0,0.0,,
0.0,50.0,-50.0,0.0,0.0,,
0.0,50.0,-45.0,0.0,0.0,,
0.0,50.0,-40.0,0.0,0.0,,
0.0,50.0,-35.0,0.0,0.0,,
0.0,50.0,-30.0,0.0,0.0,,
0.0,50.0,-25.0,0.0,0.0,,
0.0,50.0,-20.0,0.0,0.0,,
0.0,50.0,-15.0,0.0,0.0,,
0.0,50.0,-10.0,0.0,0.0,,
0.0,50.0,-5.0,0.0,0.0,,
0.0,50.0,0.0,0.0,0.0,,
0.0,50.0,5.0,0.0,0.0,,
0.0,50.0,10.0,0.0,0.0,,
0.0,50.0,15.0,0.0,0.0,,
0.0,50.0,20.0,0.0,0.0,,
0.0,50.0,25.0,0.0,0.0,,
0.0,50.0,30.0,0.0,0.0,,
0.0,50.0,35.0,0.0,0.0,,
0.0,50.0,40.0,0.0,0.0,,
0.0,50.0,45.0,0.0,0.0,,
0.0,50.0,50.0,0.0,0.0,,
0.0,50.0,55.0,0.0,0.0,,
0.0,50.0,60.0,0.0,0.0,,
0.0,50.0,65.0,0.0,0.0,,
0.0,50.0,70.0,0.0,0.0,,
0.0,50.0,75.0,0.0,0.0,,
0.0,50.0,80.0,0.0,0.0,,
0.0,50.0,85.0,0.0,0.0,,
0.0,60.0,-90.0,0.0,0.0,,
0.0,60.0,-85.0,0.0,0.0,,
0.0,60.0,-80.0,0.0,0.0,,
0.0,60.0,-75.0,0.0,0.0,,
0.0,60.0,-70.0,0.0,0.0,,
0.0,60.0,-65.0,0.0,0.0,,
0.0,60.0,-60.0,0.0,0.0,,
0.0,60.0,-55.0,0.0,0.0,,
0.0,60.0,-50.0,0.0,0.0,,
0.0,60.0,-45.0,0.0,0.0,,
0.0,60.0,-40.0,0.0,0.0,,
0.0,60.0,-35.0,0.0,0.0,,
0.0,60.0,-30.0,0.0,0.0,,
0.0,60.0,-25.0,0.0,0.0,,
0.0,60.0,-20.0,0.0,0.0,,
0.0,60.0,-15.0,0.0,0.0,,
0.0,60.0,-10.0,0.0,0.0,,
0.0,60.0,-5.0,0.0,0.0,,
0.0,60.0,0.0,0.0,0.0,,
0.0,60.0,5.0,0.0,0.0,,
0.0,60.0,10.0,0.0,0.0,,
0.0,60.0,15.0,0.0,0.0,,
0.0,60.0,20.0,0.0,0.0,,
0.0,60.0,25.0,0.0,0.0,,
0.0,60.0,30.0,0.0,0.0,,
0.0,60.0,35.0,0.0,0.0,,
0.0,60.0,40.0,0.0,0.0,,
0.0,60.0,45.0,0.0,0.0,,
0.0,60.0,50.0,0.0,0.0,,
0.0,60.0,55.0,0.0,0.0,,
0.0,60.0,60.0,0.0,0.0,,
0.0,60.0,65.0,0.0,0.0,,
0.0,60.0,70.0,0.0,0.0,,
0.0,60.0,75.0,0.0,0.0,,
0.0,60.0,80.0,0.0,0.0,,
0.0,60.0,85.0,0.0,0.0,,
0.0,70.0,-90.0,0.0,0.0,,
0.0,70.0,-85.0,0.0,0.0,,
0.0,70.0,-80.0,0.0,0.0,,
0.0,70.0,-75.0,0.0,0.0,,
0.0,70.0,-70.0,0.0,0.0,,
0.0,70.0,-65.0,0.0,0.0,,
0.0,70.0,-60.0,0.0,0.0,,
0.0,70.0,-55.0,0.0,0.0,,
0.0,70.0,-50.0,0.0,0.0,,
0.0,70.0,-45.0,0.0,0.0,,
0.0,70.0,-40.0,0.0,0.0,,
0.0,70.0,-35.0,0.0,0.0,,
0.0,70.0,-30.0,0.0,0.0,,
0.0,70.0,-25.0,0.0,0.0,,
0.0,70.0,-20.0,0.0,0.0,,
0.0,70.0,-15.0,0.0,0.0,,
0.0,70.0,-10.0,0.0,0.0,,
0.0,70.0,-5.0,0.0,0.0,,
0.0,70.0,0.0,0.0,0.0,,
0.0,70.0,5.0,0.0,0.0,,
0.0,70.0,10.0,0.0,0.0,,
0.0,70.0,15.0,0.0,0.0,,
0.0,70.0,20.0,0.0,0.0,,
0.0,70.0,25.0,0.0,0.0,,
0.0,70.0,30.0,0.0,0.0,,
0.0,70.0,35.0,0.0,0.0,,
0.0,70.0,40.0,0.0,0.0,,
0.0,70.0,45.0,0.0,0.0,,
0.0,70.0,50.0,0.0,0.0,,
0.0,70.0,55.0,0.0,0.0,,
0.0,70.0,60.0,0.0,0.0,,
0.0,70.0,65.0,0.0,0.0,,
0.0,70.0,70.0,0.0,0.0,,
0.0,70.0,75.0,0.0,0.0,,
0.0,70.0,80.0,0.0,0.0,,
0.0,70.0,85.0,0.0,0.0,,
0.0,80.0,-90.0,0.0,0.0,,
0.0,80.0,-85.0,0.0,0.0,,
0.0,80.0,-80.0,0.0,0.0,,
0.0,80.0,-75.0,0.0,0.0,,
0.0,80.0,-70.0,0.0,0.0,,
0.0,80.0,-65.0,0.0,0.0,,
0.0,80.0,-60.0,0.0,0.0,,
0.0,80.0,-55.0,0.0,0.0,,
0.0,80.0,-50.0,0.0,0.0,,
0.0,80.0,-45.0,0.0,0.0,,
0.0,80.0,-40.0,0.0,0.0,,
0.0,80.0,-35.0,0.0,0.0,,
0.0,80.0,-30.0,0.0,0.0,,
0.0,80.0,-25.0,0.0,0.0,,
0.0,80.0,-20.0,0.0,0.0,,
0.0,80.0,-15.0,0.0,0.0,,
0.0,80.0,-10.0,0.0,0.0,,
0.0,80.0,-5.0,0.0,0.0,,
0.0,80.0,0.0,0.0,0.0,,
0.0,80.0,5.0,0.0,0.0,,
0.0,80.0,10.0,0.0,0.0,,
0.0,80.0,15.0,0.0,0.0,,
0.0,80.0,20.0,0.0,0.0,,
0.0,80.0,25.0,0.0,0.0,,
0.0,80.0,30.0,0.0,0.0,,
0.0,80.0,35.0,0.0,0.0,,
0.0,80.0,40.0,0.0,0.0,,
0.0,80.0,45.0,0.0,0.0,,
0.0,80.0,50.0,0.0,0.0,,
0.0,80.0,55.0,0.0,0.0,,
0.0,80.0,60.0,0.0,0.0,,
0.0,80.0,65.0,0.0,0.0,,
0.0,80.0,70.0,0.0,0.0,,
0.0,80.0,75.0,0.0,0.0,,
0.0,80.0,80.0,0.0,0.0,,
0.0,80.0,85.0,0.0,0.0,,
0.0,90.0,-90.0,0.0,0.0,,
0.0,90.0,-85.0,0.0,0.0,,
0.0,90.0,-80.0,0.0,0.0,,
0.0,90.0,-75.0,0.0,0.0,,
0.0,90.0,-70.0,0.0,0.0,,
0.0,90.0,-65.0,0.0,0.0,,
0.0,90.0,-60.0,0.0,0.0,,
0.0,90.0,-55.0,0.0,0.0,,
0.0,90.0,-50.0,0.0,0.0,,
0.0,90.0,-45.0,0.0,0.0,,
0.0,90.0,-40.0,0.0,0.0,,
0.0,90.0,-35.0,0.0,0.0,,
0.0,90.0,-30.0,0.0,0.0,,
0.0,90.0,-25.0,0.0,0.0,,
0.0,90.0,-20.0,0.0,0.0,,
0.0,90.0,-15.0,0.0,0.0,,
0.0,90.0,-10.0,0.0,0.0,,
0.0,90.0,-5.0,0.0,0.0,,
0.0,90.0,0.0,0.0,0.0,,
0.0,90.0,5.0,0.0,0.0,,
0.0,90.0,10.0,0.0,0.0,,
0.0,90.0,15.0,0.0,0.0,,
0.0,90.0,20.0,0.0,0.0,,
0.0,90.0,25.0,0.0,0.0,,
0.0,90.0,30.0,0.0,0.0,,
0.0,90.0,35.0,0.0,0.0,,
0.0,90.0,40.0,0.0,0.0,,
0.0,90.0,45.0,0.0,0.0,,
0.0,90.0,50.0,0.0,0.0,,
0.0,90.0,55.0,0.0,0.0,,
0.0,90.0,60.0,0.0,0.0,,
0.0,90.0,65.0,0.0,0.0,,
0.0,90.0,70.0,0.0,0.0,,
0.0,90.0,75.0,0.0,0.0,,
0.0,90.0,80.0,0.0,0.0,,
0.0,90.0,85.0,0.0,0.0,,
0.0,100.0,-90.0,0.0,0.0,,
0.0,100.0,-85.0,0.0,0.0,,
0.0,100.0,-80.0,0.0,0.0,,
0.0,100.0,-75.0,0.0,0.0,,
0.0,100.0,-70.0,0.0,0.0,,
0.0,100.0,-65.0,0.0,0.0,,
0.0,100.0,-60.0,0.0,0.0,,
0.0,100.0,-55.0,0.0,0.0,,
0.0,100.0,-50.0,0.0,0.0,,
0.0,100.0,-45.0,0.0,0.0,,
0.0,100.0,-40.0,0.0,0.0,,
0.0,100.0,-35.0,0.0,0.0,,
0.0,100.0,-30.0,0.0,0.0,,
0.0,100.0,-25.0,0.0,0.0,,
0.0,100.0,-20.0,0.0,0.0,,
0.0,100.0,-15.0,0.0,0.0,,
0.0,100.0,-10.0,0.0,0.0,,
0.0,100.0,-5.0,0.0,0.0,,
0.0,100.0,0.0,0.0,0.0,,
0.0,100.0,5.0,0.0,0.0,,
0.0,100.0,10.0,0.0,0.0,,
0.0,100.0,15.0,0.0,0.0,,
0.0,100.0,20.0,0.0,0.0,,
0.0,100.0,25.0,0.0,0.0,,
0.0,100.0,30.0,0.0,0.0,,
0.0,100.0,35.0,0.0,0.0,,
0.0,100.0,40.0,0.0,0.0,,
0.0,100.0,45.0,0.0,0.0,,
0.0,100.0,50.0,0.0,0.0,,
0.0,100.0,55.0,0.0,0.0,,
0.0,100.0,60.0,0.0,0.0,,
0.0,100.0,65.0,0.0,0.0,,
0.0,100.0,70.0,0.0,0.0,,
0.0,100.0,75.0,0.0,0.0,,
0.0,100.0,80.0,0.0,0.0,,
0.0,100.0,85.0,0.0,0.0,,
0.0,110.0,-90.0,0.0,0.0,,
0.0,110.0,-85.0,0.0,0.0,,
0.0,110.0,-80.0,0.0,0.0,,
0.0,110.0,-75.0,0.0,0.0,,
0.0,110.0,-70.0,0.0,0.0,,
0.0,110.0,-65.0,0.0,0.0,,
0.0,110.0,-60.0,0.0,0.0,,
0.0,110.0,-55.0,0.0,0.0,,
0.0,110.0,-50.0,0.0,0.0,,
0.0,110.0,-45.0,0.0,0.0,,
0.0,110.0,-40.0,0.0,0.0,,
0.0,110.0,-35.0,0.0,0.0,,
0.0,110.0,-30.0,0.0,0.0,,
0.0,110.0,-25.0,0.0,0.0,,
0.0,110.0,-20.0,0.0,0.0,,
0.0,110.0,-15.0,0.0,0.0,,
0.0,110.0,-10.0,0.0,0.0,,
0.0,110.0,-5.0,0.0,0.0,,
0.0,110.0,0.0,0.0,0.0,,
0.0,110.0,5.0,0.0,0.0,,
0.0,110.0,10.0,0.0,0.0,,
0.0,110.0,15.0,0.0,0.0,,
0.0,110.0,20.0,0.0,0.0,,
0.0,110.0,25.0,0.0,0.0,,
0.0,110.0,30.0,0.0,0.0,,
0.0,110.0,35.0,0.0,0.0,,
0.0,110.0,40.0,0.0,0.0,,
0.0,110.0,45.0,0.0,0.0,,
0.0,110.0,50.0,0.0,0.0,,
0.0,110.0,55.0,0.0,0.0,,
0.0,110.0,60.0,0.0,0.0,,
0.0,110.0,65.0,0.0,0.0,,
0.0,110.0,70.0,0.0,0.0,,
0.0,110.0,75.0,0.0,0.0,,
0.0,110.0,80.0,0.0,0.0,,
0.0,110.0,85.0,0.0,0.0,,
0.0,120.0,-90.0,0.0,0.0,,
0.0,120.0,-85.0,0.0,0.0,,
0.0,120.0,-80.0,0.0,0.0,,
0.0,120.0,-75.0,0.0,0.0,,
0.0,120.0,-70.0,0.0,0.0,,
0.0,120.0,-65.0,0.0,0.0,,
0.0,120.0,-60.0,0.0,0.0,,
0.0,120.0,-55.0,0.0,0.0,,
0.0,120.0,-50.0,0.0,0.0,,
0.0,120.0,-45.0,0.0,0.0,,
0.0,120.0,-40.0,0.0,0.0,,
0.0,120.0,-35.0,0.0,0.0,,
0.0,120.0,-30.0,0.0,0.0,,
0.0,120.0,-25.0,0.0,0.0,,
0.0,120.0,-20.0,0.0,0.0,,
0.0,120.0,-15.0,0.0,0.0,,
0.0,120.0,-10.0,0.0,0.0,,
0.0,120.0,-5.0,0.0,0.0,,
0.0,120.0,0.0,0.0,0.0,,
0.0,120.0,5.0,0.0,0.0,,
0.0,120.0,10.0,0.0,0.0,,
0.0,120.0,15.0,0.0,0.0,,
0.0,120.0,20.0,0.0,0.0,,
0.0,120.0,25.0,0.0,0.0,,
0.0,120.0,30.0,0.0,0.0,,
0.0,120.0,35.0,0.0,0.0,,
0.0,120.0,40.0,0.0,0.0,,
0.0,120.0,45.0,0.0,0.0,,
0.0,120.0,50.0,0.0,0.0,,
0.0,120.0,55.0,0.0,0.0,,
0.0,120.0,60.0,0.0,0.0,,
0.0,120.0,65.0,0.0,0.0,,
0.0,120.0,70.0,0.0,0.0,,
0.0,120.0,75.0,0.0,0.0,,
0.0,120.0,80.0,0.0,0.0,,
0.0,120.0,85.0,0.0,0.0,,
0.0,130.0,-90.0,0.0,0.0,,
0.0,130.0,-85.0,0.0,0.0,,
0.0,130.0,-80.0,0.0,0.0,,
0.0,130.0,-75.0,0.0,0.0,,
0.0,130.0,-70.0,0.0,0.0,,
0.0,130.0,-65.0,0.0,0.0,,
0.0,130.0,-60.0,0.0,0.0,,
0.0,130.0,-55.0,0.0,0.0,,
0.0,130.0,-50.0,0.0,0.0,,
0.0,130.0,-45.0,0.0,0.0,,
0.0,130.0,-40.0,0.0,0.0,,
0.0,130.0,-35.0,0.0,0.0,,
0.0,130.0,-30.0,0.0,0.0,,
0.0,130.0,-25.0,0.0,0.0,,
0.0,130.0,-20.0,0.0,0.0,,
0.0,130.0,-15.0,0.0,0.0,,
0.0,130.0,-10.0,0.0,0.0,,
0.0,130.0,-5.0,0.0,0.0,,
0.0,130.0,0.0,0.0,0.0,,
0.0,130.0,5.0,0.0,0.0,,
0.0,130.0,10.0,0.0,0.0,,
0.0,130.0,15.0,0.0,0.0,,
0.0,130.0,20.0,0.0,0.0,,
0.0,130.0,25.0,0.0,0.0,,
0.0,130.0,30.0,0.0,0.0,,
0.0,130.0,35.0,0.0,0.0,,
0.0,130.0,40.0,0.0,0.0,,
0.0,130.0,45.0,0.0,0.0,,
0.0,130.0,50.0,0.0,0.0,,
0.0,130.0,55.0,0.0,0.0,,
0.0,130.0,60.0,0.0,0.0,,
0.0,130.0,65.0,0.0,0.0,,
0.0,130.0,70.0,0.0,0.0,,
0.0,130.0,75.0,0.0,0.0,,
0.0,130.0,80.0,0.0,0.0,,
0.0,130.0,85.0,0.0,0.0,,
0.0,140.0,-90.0,0.0,0.0,,
0.0,140.0,-85.0,0.0,0.0,,
0.0,140.0,-80.0,0.0,0.0,,
0.0,140.0,-75.0,0.0,0.0,,
0.0,140.0,-70.0,0.0,0.0,,
0.0,140.0,-65.0,0.0,0.0,,
0.0,140.0,-60.0,0.0,0.0,,
0.0,140.0,-55.0,0.0,0.0,,
0.0,140.0,-50.0,0.0,0.0,,
0.0,140.0,-45.0,0.0,0.0,,
0.0,140.0,-40.0,0.0,0.0,,
0.0,140.0,-35.0,0.0,0.0,,
0.0,140.0,-30.0,0.0,0.0,,
0.0,140.0,-25.0,0.0,0.0,,
0.0,140.0,-20.0,0.0,0.0,,
0.0,140.0,-15.0,0.0,0.0,,
0.0,140.0,-10.0,0.0,0.0,,
0.0,140.0,-5.0,0.0,0.0,,
0.0,140.0,0.0,0.0,0.0,,
0.0,140.0,5.0,0.0,0.0,,
0.0,140.0,10.0,0.0,0.0,,
0.0,140.0,15.0,0.0,0.0,,
0.0,140.0,20.0,0.0,0.0,,
0.0,140.0,25.0,0.0,0.0,,
0.0,140.0,30.0,0.0,0.0,,
0.0,140.0,35.0,0.0,0.0,,
0.0,140.0,40.0,0.0,0.0,,
0.0,140.0,45.0,0.0,0.0,,
0.0,140.0,50.0,0.0,0.0,,
0.0,140.0,55.0,0.0,0.0,,
0.0,140.0,60.0,0.0,0.0,,
0.0,140.0,65.0,0.0,0.0,,
0.0,140.0,70.0,0.0,0.0,,
0.0,140.0,75.0,0.0,0.0,,
0.0,140.0,80.0,0.0,0.0,,
0.0,140.0,85.0,0.0,0.0,,
0.0,150.0,-90.0,0.0,0.0,,
0.0,150.0,-85.0,0.0,0.0,,
0.0,150.0,-80.0,0.0,0.0,,
0.0,150.0,-75.0,0.0,0.0,,
0.0,150.0,-70.0,0.0,0.0,,
0.0,150.0,-65.0,0.0,0.0,,
0.0,150.0,-60.0,0.0,0.0,,
0.0,150.0,-55.0,0.0,0.0,,
0.0,150.0,-50.0,0.0,0.0,,
0.0,150.0,-45.0,0.0,0.0,,
0.0,150.0,-40.0,0.0,0.0,,
0.0,150.0,-35.0,0.0,0.0,,
0.0,150.0,-30.0,0.0,0.0,,
0.0,150.0,-25.0,0.0,0.0,,
0.0,150.0,-20.0,0.0,0.0,,
0.0,150.0,-15.0,0.0,0.0,,
0.0,150.0,-10.0,0.0,0.0,,
0.0,150.0,-5.0,0.0,0.0,,
0.0,150.0,0.0,0.0,0.0,,
0.0,150.0,5.0,0.0,0.0,,
0.0,150.0,10.0,0.0,0.0,,
0.0,150.0,15.0,0.0,0.0,,
0.0,150.0,20.0,0.0,0.0,,
0.0,150.0,25.0,0.0,0.0,,
0.0,150.0,30.0,0.0,0.0,,
0.0,150.0,35.0,0.0,0.0,,
0.0,150.0,40.0,0.0,0.0,,
0.0,150.0,45.0,0.0,0.0,,
0.0,150.0,50.0,0.0,0.0,,
0.0,150.0,55.0,0.0,0.0,,
0.0,150.0,60.0,0.0,0.0,,
0.0,150.0,65.0,0.0,0.0,,
0.0,150.0,70.0,0.0,0.0,,
0.0,150.0,75.0,0.0,0.0,,
0.0,150.0,80.0,0.0,0.0,,
0.0,150.0,85.0,0.0,0.0,,
0.0,160.0,-90.0,0.0,0.0,,
0.0,160.0,-85.0,0.0,0.0,,
0.0,160.0,-80.0,0.0,0.0,,
0.0,160.0,-75.0,0.0,0.0,,
0.0,160.0,-70.0,0.0,0.0,,
0.0,160.0,-65.0,0.0,0.0,,
0.0,160.0,-60.0,0.0,0.0,,
0.0,160.0,-55.0,0.0,0.0,,
0.0,160.0,-50.0,0.0,0.0,,
0.0,160.0,-45.0,0.0,0.0,,
0.0,160.0,-40.0,0.0,0.0,,
0.0,160.0,-35.0,0.0,0.0,,
0.0,160.0,-30.0,0.0,0.0,,
0.0,160.0,-25.0,0.0,0.0,,
0.0,160.0,-20.0,0.0,0.0,,
0.0,160.0,-15.0,0.0,0.0,,
0.0,160.0,-10.0,0.0,0.0,,
0.0,160.0,-5.0,0.0,0.0,,
0.0,160.0,0.0,0.0,0.0,,
0.0,160.0,5.0,0.0,0.0,,
0.0,160.0,10.0,0.0,0.0,,
0.0,160.0,15.0,0.0,0.0,,
0.0,160.0,20.0,0.0,0.0,,
0.0,160.0,25.0,0.0,0.0,,
0.0,160.0,30.0,0.0,0.0,,
0.0,160.0,35.0,0.0,0.0,,
0.0,160.0,40.0,0.0,0.0,,
0.0,160.0,45.0,0.0,0.0,,
0.0,160.0,50.0,0.0,0.0,,
0.0,160.0,55.0,0.0,0.0,,
0.0,160.0,60.0,0.0,0.0,,
0.0,160.0,65.0,0.0,0.0,,
0.0,160.0,70.0,0.0,0.0,,
0.0,160.0,75.0,0.0,0.0,,
0.0,160.0,80.0,0.0,0.0,,
0.0,160.0,85.0,0.0,0.0,,
0.0,170.0,-90.0,0.0,0.0,,
0.0,170.0,-85.0,0.0,0.0,,
0.0,170.0,-80.0,0.0,0.0,,
0.0,170.0,-75.0,0.0,0.0,,
0.0,170.0,-70.0,0.0,0.0,,
0.0,170.0,-65.0,0.0,0.0,,
